epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.4370204210281372,0.0010000000474974513,2.156386613845825,0.4183191657066345,2.954366683959961
1,0.7899893522262573,0.0010000000474974513,0.8075293302536011,0.3437204957008362,2.616868257522583
2,0.8701452016830444,0.0010000000474974513,0.48770755529403687,0.30500471591949463,2.4042856693267822
3,0.8899775743484497,0.0010000000474974513,0.38395512104034424,0.30972614884376526,2.1829922199249268
4,0.9126431345939636,0.0010000000474974513,0.32052376866340637,0.2993389964103699,2.017660617828369
5,0.9250383377075195,0.0010000000474974513,0.26789629459381104,0.3371104896068573,1.8021620512008667
6,0.9358989596366882,0.0010000000474974513,0.24738717079162598,0.4834749698638916,1.463228702545166
7,0.9369614124298096,0.0010000000474974513,0.23142001032829285,0.6477809548377991,1.1599836349487305
8,0.9415653347969055,0.0010000000474974513,0.20477405190467834,0.7148253321647644,0.8763986825942993
9,0.9388502240180969,0.0010000000474974513,0.2137618511915207,0.8866855502128601,0.5644491910934448
10,0.9443985223770142,0.0010000000474974513,0.20370054244995117,0.8857412934303284,0.41027265787124634
11,0.9488844275474548,0.0010000000474974513,0.18439288437366486,0.9508970975875854,0.25892606377601624
12,0.9503010511398315,0.0010000000474974513,0.17367492616176605,0.9508970975875854,0.21774207055568695
13,0.9497107863426208,0.0010000000474974513,0.16830816864967346,0.9612842202186584,0.1754203587770462
14,0.9557313323020935,0.0010000000474974513,0.16164764761924744,0.965061366558075,0.13157638907432556
15,0.9550229907035828,0.0010000000474974513,0.1532256305217743,0.9782813787460327,0.10728819668292999
16,0.9580923318862915,0.0010000000474974513,0.1422593891620636,0.9735599756240845,0.09666232019662857
17,0.9593908786773682,0.0010000000474974513,0.13988979160785675,0.9735599756240845,0.0975734293460846
18,0.9560854434967041,0.0010000000474974513,0.1453740894794464,0.9792256951332092,0.08014854788780212
19,0.9576201438903809,0.0010000000474974513,0.1424369215965271,0.9754485487937927,0.08530784398317337
20,0.9598630666732788,0.0010000000474974513,0.13500502705574036,0.9754485487937927,0.08686500042676926
21,0.9609255194664001,0.0010000000474974513,0.13619306683540344,0.9792256951332092,0.08274092525243759
22,0.9533703327178955,0.0010000000474974513,0.1514703780412674,0.9745042324066162,0.09450675547122955
23,0.9622240662574768,0.0005000000237487257,0.12934757769107819,0.972615659236908,0.09340865164995193
24,0.9663558006286621,0.0005000000237487257,0.11449688673019409,0.9782813787460327,0.07434345036745071
25,0.9671821594238281,0.0005000000237487257,0.1090102568268776,0.9782813787460327,0.07466854900121689
26,0.9676543474197388,0.0005000000237487257,0.10951388627290726,0.977337121963501,0.08345918357372284
27,0.9701334238052368,0.0005000000237487257,0.10228757560253143,0.980169951915741,0.07419178634881973
28,0.9696611762046814,0.0005000000237487257,0.09757915139198303,0.9811142683029175,0.07233978062868118
29,0.9704875349998474,0.0005000000237487257,0.1060933843255043,0.9820585250854492,0.07310878485441208
30,0.9676543474197388,0.0005000000237487257,0.10577837377786636,0.9811142683029175,0.0715508759021759
31,0.9698972702026367,0.0005000000237487257,0.09933103621006012,0.9811142683029175,0.07388433068990707
32,0.9694250822067261,0.0005000000237487257,0.10233600437641144,0.984891414642334,0.07478823512792587
33,0.9720221757888794,0.0005000000237487257,0.09599335491657257,0.9820585250854492,0.07643629610538483
34,0.973320722579956,0.0005000000237487257,0.09009095281362534,0.9830028414726257,0.06534115970134735
35,0.9740290641784668,0.0005000000237487257,0.0899660736322403,0.9830028414726257,0.06474490463733673
36,0.9713138937950134,0.0005000000237487257,0.0979444682598114,0.9811142683029175,0.07350458949804306
37,0.9739109873771667,0.0005000000237487257,0.0893748477101326,0.9839470982551575,0.06837195158004761
38,0.9716680645942688,0.0005000000237487257,0.09518401324748993,0.984891414642334,0.06203252449631691
39,0.9711958169937134,0.0005000000237487257,0.09625086188316345,0.980169951915741,0.06352430582046509
40,0.9739109873771667,0.0005000000237487257,0.08974999934434891,0.9830028414726257,0.07046282291412354
41,0.9723763465881348,0.0005000000237487257,0.09085870534181595,0.9820585250854492,0.07236430794000626
42,0.9721402525901794,0.0005000000237487257,0.08705350011587143,0.9839470982551575,0.07295030355453491
43,0.97249436378479,0.0002500000118743628,0.0836271122097969,0.9839470982551575,0.0686318650841713
44,0.9774524569511414,0.0002500000118743628,0.07682293653488159,0.984891414642334,0.06329421699047089
45,0.9767441749572754,0.0002500000118743628,0.07756708562374115,0.984891414642334,0.06572168320417404
46,0.9776886105537415,0.0002500000118743628,0.0789652019739151,0.9839470982551575,0.06989692896604538
47,0.9782788157463074,0.0001250000059371814,0.07227042317390442,0.9839470982551575,0.06830693781375885
48,0.9798134565353394,0.0001250000059371814,0.07074501365423203,0.9839470982551575,0.06864932179450989
