epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.3317199945449829,0.0010000000474974513,2.3830037117004395,0.3767705261707306,2.939164638519287
1,0.6734741926193237,0.0010000000474974513,1.1524500846862793,0.47403210401535034,2.5515170097351074
2,0.7859756946563721,0.0010000000474974513,0.7428711652755737,0.3852691352367401,2.3132851123809814
3,0.8297721743583679,0.0010000000474974513,0.5822575092315674,0.3484419286251068,2.14355206489563
4,0.8540904521942139,0.0010000000474974513,0.49965599179267883,0.42965060472488403,1.9106287956237793
5,0.8662495613098145,0.0010000000474974513,0.4431958496570587,0.47119924426078796,1.7037169933319092
6,0.8746311068534851,0.0010000000474974513,0.4060448408126831,0.5259678959846497,1.4356238842010498
7,0.8950536847114563,0.0010000000474974513,0.3631986081600189,0.7053824067115784,1.1270904541015625
8,0.894817590713501,0.0010000000474974513,0.35230305790901184,0.7403210401535034,0.9461469054222107
9,0.9100460410118103,0.0010000000474974513,0.3110281825065613,0.8611897826194763,0.6626031398773193
10,0.9125250577926636,0.0010000000474974513,0.3008599579334259,0.9102927446365356,0.46555057168006897
11,0.9164207577705383,0.0010000000474974513,0.2827967405319214,0.9159584641456604,0.37137937545776367
12,0.9190178513526917,0.0010000000474974513,0.2784559726715088,0.9527856707572937,0.2316446155309677
13,0.9181914925575256,0.0010000000474974513,0.2717667818069458,0.9527856707572937,0.2169148325920105
14,0.9204344153404236,0.0010000000474974513,0.26603972911834717,0.9716714024543762,0.16617253422737122
15,0.9276354908943176,0.0010000000474974513,0.2451106756925583,0.965061366558075,0.13504542410373688
16,0.9238578677177429,0.0010000000474974513,0.25790169835090637,0.965061366558075,0.12790507078170776
17,0.9330657720565796,0.0010000000474974513,0.2299831509590149,0.9631727933883667,0.13473699986934662
18,0.9370794296264648,0.0010000000474974513,0.22700940072536469,0.965061366558075,0.10966712981462479
19,0.9355447888374329,0.0010000000474974513,0.21690836548805237,0.9631727933883667,0.1139964759349823
20,0.9335379600524902,0.0010000000474974513,0.22293470799922943,0.9603399634361267,0.12036263197660446
21,0.9427458643913269,0.0010000000474974513,0.20445606112480164,0.9688385128974915,0.09903834015130997
22,0.9394404292106628,0.0010000000474974513,0.20874468982219696,0.9669499397277832,0.11171874403953552
23,0.9428638815879822,0.0010000000474974513,0.19798141717910767,0.9678942561149597,0.09866311401128769
24,0.9408570528030396,0.0010000000474974513,0.20254731178283691,0.9716714024543762,0.09291902184486389
25,0.9390863180160522,0.0010000000474974513,0.19475582242012024,0.9688385128974915,0.08958637714385986
26,0.9426277875900269,0.0010000000474974513,0.19535712897777557,0.9707270860671997,0.0940452590584755
27,0.9459331631660461,0.0010000000474974513,0.1780243068933487,0.9716714024543762,0.08832716196775436
28,0.9446346163749695,0.0010000000474974513,0.18634560704231262,0.9660056829452515,0.09518914669752121
29,0.9442805051803589,0.0010000000474974513,0.18402214348316193,0.977337121963501,0.07194913178682327
30,0.9451068639755249,0.0010000000474974513,0.17760156095027924,0.9707270860671997,0.09130343049764633
31,0.9475858807563782,0.0010000000474974513,0.17393527925014496,0.9754485487937927,0.09223343431949615
32,0.9441624283790588,0.0010000000474974513,0.18248692154884338,0.969782829284668,0.09473329782485962
33,0.9474678039550781,0.0010000000474974513,0.17096932232379913,0.9745042324066162,0.09045776724815369
34,0.9491205215454102,0.0005000000237487257,0.16466641426086426,0.977337121963501,0.08750765770673752
35,0.9495927095413208,0.0005000000237487257,0.16404269635677338,0.977337121963501,0.07766618579626083
36,0.9539605975151062,0.0005000000237487257,0.15153521299362183,0.9735599756240845,0.08237028867006302
37,0.9549049735069275,0.0005000000237487257,0.14823655784130096,0.9782813787460327,0.06998803466558456
38,0.9564396142959595,0.0005000000237487257,0.14616458117961884,0.9792256951332092,0.06796875596046448
39,0.9563215970993042,0.0005000000237487257,0.14469407498836517,0.980169951915741,0.07165355980396271
40,0.9573839902877808,0.0005000000237487257,0.14151985943317413,0.977337121963501,0.07210477441549301
41,0.9598630666732788,0.0005000000237487257,0.13993462920188904,0.9782813787460327,0.0689486563205719
42,0.9580923318862915,0.0005000000237487257,0.1439838409423828,0.980169951915741,0.07038787007331848
43,0.9610435366630554,0.0002500000118743628,0.13656120002269745,0.9782813787460327,0.06832654774188995
44,0.9572659730911255,0.0002500000118743628,0.1340780109167099,0.9792256951332092,0.0699179470539093
45,0.9600991606712341,0.0002500000118743628,0.1302645355463028,0.9820585250854492,0.06801094114780426
46,0.9625782370567322,0.0002500000118743628,0.12223969399929047,0.9754485487937927,0.0682552382349968
47,0.9623420834541321,0.0001250000059371814,0.127938911318779,0.977337121963501,0.06591290980577469
48,0.9625782370567322,0.0001250000059371814,0.11872097104787827,0.980169951915741,0.06494887173175812
49,0.9668279886245728,0.0001250000059371814,0.11729252338409424,0.980169951915741,0.0636330097913742
50,0.9622240662574768,0.0001250000059371814,0.12523390352725983,0.9792256951332092,0.06347647309303284
51,0.9657655358314514,0.0001250000059371814,0.11541085690259933,0.980169951915741,0.06491373479366302
52,0.9647030830383301,0.0001250000059371814,0.11994855105876923,0.980169951915741,0.06388621032238007
