epoch,accuracy,learning_rate,loss,top3,top5,val_accuracy,val_loss,val_top3,val_top5
0,0.19396311044692993,0.0010000000474974513,2.5123753547668457,0.45481646060943604,0.6208310127258301,0.4098360538482666,1.8439605236053467,0.7391952276229858,0.8405365347862244
1,0.39519283175468445,0.0010000000474974513,1.7727309465408325,0.7335569262504578,0.8583939075469971,0.5812220573425293,1.373754858970642,0.8301043510437012,0.9225037097930908
2,0.527855396270752,0.0010000000474974513,1.4367809295654297,0.8151667714118958,0.9051611423492432,0.6453055143356323,1.1097389459609985,0.8643814921379089,0.9463487267494202
3,0.623812198638916,0.0010000000474974513,1.1941043138504028,0.8645426034927368,0.9319918155670166,0.7317436933517456,0.8769518733024597,0.9105812311172485,0.9538003206253052
4,0.6621949076652527,0.0010000000474974513,1.062101125717163,0.8826159834861755,0.9400037527084351,0.7839046120643616,0.787566065788269,0.9254843592643738,0.9493293762207031
5,0.692379355430603,0.0010000000474974513,0.9622782468795776,0.8990125060081482,0.9468976855278015,0.7853949069976807,0.7400550246238708,0.9344262480735779,0.9597615599632263
6,0.7277808785438538,0.0010000000474974513,0.8882278800010681,0.9085149765014648,0.9489472508430481,0.8181818127632141,0.658678412437439,0.935916543006897,0.9597615599632263
7,0.7439910769462585,0.0010000000474974513,0.8410529494285583,0.9103782176971436,0.9565865397453308,0.8315946459770203,0.6220629215240479,0.940387487411499,0.9612518548965454
8,0.7577790021896362,0.0010000000474974513,0.7962335348129272,0.9200670719146729,0.9584497809410095,0.816691517829895,0.660855770111084,0.928464949131012,0.9567809104919434
9,0.7672815322875977,0.0010000000474974513,0.7615557312965393,0.9221166372299194,0.9567728638648987,0.8450074791908264,0.5485576391220093,0.9478390216827393,0.9672130942344666
10,0.7657909393310547,0.0010000000474974513,0.7504785656929016,0.925656795501709,0.9582634568214417,0.8509687185287476,0.5643056035041809,0.9418777823448181,0.9582712650299072
11,0.7829327583312988,0.0010000000474974513,0.7039297223091125,0.9316191673278809,0.966461718082428,0.8539493083953857,0.5100573301315308,0.9448584318161011,0.9672130942344666
12,0.7970933318138123,0.0010000000474974513,0.6475273966789246,0.9362772703170776,0.9670206904411316,0.871833086013794,0.48002129793167114,0.9448584318161011,0.9701937437057495
13,0.8103223443031311,0.0010000000474974513,0.6335257887840271,0.9427985548973083,0.9673933386802673,0.8792846202850342,0.4577590227127075,0.9538003206253052,0.9687034487724304
14,0.8106949925422668,0.0010000000474974513,0.6338593363761902,0.9422396421432495,0.9694429039955139,0.8614009022712708,0.47296616435050964,0.9523099660873413,0.9687034487724304
15,0.8082727789878845,0.0010000000474974513,0.6081873178482056,0.9482019543647766,0.9741010069847107,0.8524590134620667,0.4923895299434662,0.9493293762207031,0.9731743931770325
16,0.8164710402488708,0.0010000000474974513,0.5922671556472778,0.9442891478538513,0.9700018763542175,0.8643814921379089,0.46236318349838257,0.9523099660873413,0.9687034487724304
17,0.8328675031661987,0.0010000000474974513,0.5398581624031067,0.9513694643974304,0.9744736552238464,0.8673621416091919,0.44473084807395935,0.9538003206253052,0.9701937437057495
18,0.8365939855575562,0.0010000000474974513,0.5300599336624146,0.9517421126365662,0.9768958687782288,0.873323380947113,0.445321649312973,0.9612518548965454,0.9687034487724304
19,0.8254145979881287,0.0010000000474974513,0.5489217638969421,0.9498788714408875,0.9731693863868713,0.8658718466758728,0.46771907806396484,0.9582712650299072,0.9701937437057495
20,0.8405067920684814,0.0010000000474974513,0.5264135003089905,0.95490962266922,0.9742873311042786,0.880774974822998,0.4230525493621826,0.9567809104919434,0.9731743931770325
21,0.8472144603729248,0.0010000000474974513,0.5070236325263977,0.9530463814735413,0.9735420346260071,0.8882265090942383,0.40358608961105347,0.9552906155586243,0.9731743931770325
22,0.8487050533294678,0.0010000000474974513,0.4813028872013092,0.9588224291801453,0.9782001376152039,0.8614009022712708,0.45762377977371216,0.9523099660873413,0.9701937437057495
